id,title,description,instructions,duration,points,difficulty,category,icon,source,timesUsed,lastUsed,customCategory,customDuration,customPoints,hasPreferences
cmdzeje8w0002dxjy1fdelfh1,200-Year Perspective Check,"Perspective is easily gained by asking, 'In 200 years how will this matter?'","When stressed about something, ask 'In 200 years, how will this matter?' Let the answer guide your response.",2 min,20,2,mindfulness,ðŸŒŸ,database,0,,,,,false
cmdzejf3i000gdxjy49o0hd42,Adaptability Practice,Intelligence is the ability to adapt to change. - Stephen Hawking,"When plans change unexpectedly, pause and ask 'How can I adapt?' Focus on solutions rather than resistance.",5 min,25,2,learning,ðŸŒŸ,database,0,,,,,false
cmdzejfj5000mdxjy89dlwspd,Artistic Diversion,"Artistic diversion: create music, art, pottery, and other artistic activities. It uses the brain differently which translates to other aspects of life.","Spend 30 minutes on music, art, pottery, or other creative expression. Notice how it affects your thinking in other areas.",30 min,30,2,creativity,ðŸŒŸ,database,0,,,,,false
bath,Bath,Relax and cleanse with a rejuvenating bath,,20 min,20,1,self-care,/activity-icons/Bath.jpg,database,0,,,,,false
cmdzejftt000rdxjy6ds8jky6,Better Questions Practice,The greatest answers come from asking better questions.,"Before solving any problem, spend 5 minutes crafting better questions. 'How can I...' instead of 'Why can't I...'",5 min,25,2,productivity,ðŸŒŸ,database,0,,,,,false
breakfast,Breakfast,Start your day with a nutritious breakfast,,30 min,15,1,nutrition,/activity-icons/breakfast.jpg,database,2,Wed Aug 06 2025 16:16:34 GMT-0600 (Mountain Daylight Time),physical,30 min,15,true
conflict-resolution,Conflict Resolution,Resolve disputes with wisdom and skill,,30 min,75,4,communication,/activity-icons/conflict-resolution.jpg,database,0,,,,,false
creative-thinking,Creative Thinking,Generate innovative ideas and solutions,,10 min,25,2,creative,/activity-icons/CreativeThink.png,database,0,,,,,false
deep-reflection,Deep Reflection,Contemplate life's deeper meanings,,30 min,50,3,reflection,/activity-icons/deep-reflection.jpg,database,0,,,,,false
dogs,Dogs,Spend quality time with your canine companions,,20 min,25,1,companionship,/activity-icons/Dogs.jpg,database,10,Wed Aug 06 2025 17:18:33 GMT-0600 (Mountain Daylight Time),physical,30 min,25,true
cmdzejfgz000ldxjykigdsv5p,Edison Strategic Napping,Strategic napping - using the Edison technique.,"Hold a small object while taking a 10-20 minute nap. When it drops and wakes you, immediately capture any insights.",20 min,45,4,creativity,ðŸŒŸ,database,0,,,,,false
cmdzejeun000cdxjy8ih44ac2,Ego Check Before Speaking,"Before speaking, determine what you hope to accomplish. If it is your ego speaking, stop.","Before speaking, ask 'What am I trying to accomplish?' If it's ego-driven (proving superiority), choose silence.",2 min,30,3,communication,ðŸŒŸ,database,0,,,,,false
cmdzeje6q0001dxjy0aghrz2z,Ego or Joy Choice,You can be right or you can be happy. Choose. Ego or Joy.,"When you feel the need to prove you're right, pause and ask 'Do I want to be right or happy?' Choose joy.",3 min,25,2,mindfulness,ðŸŒŸ,database,0,,,,,false
empathy-practice,Empathy Practice,Understand others' perspectives deeply,,15 min,45,3,communication,/activity-icons/empathy.jpg,database,0,,,,,false
cmdzejfco000jdxjynvt37b5u,Extreme Imagination Practice,"You must allow your mind to go to take you to extreme heights, alternative views, and even crazy imaginations. Then when you come back to earth, you are likely to land on the top of a mountain.","Spend 10 minutes imagining the most extreme, crazy solutions to a problem. Return to earth and find the mountaintop insights.",10 min,30,3,creativity,ðŸŒŸ,database,0,,,,,false
cmdzejeyy000edxjy5cg4zb0c,Failure Alchemy,"When you fail once, if you learn and solve it, you will never fail twice.","When you fail, immediately ask 'What did I learn?' and 'How will I solve this differently next time?' Document the lesson.",10 min,35,3,learning,ðŸŒŸ,database,0,,,,,false
cmdzejfng000odxjy571emqpv,Focus on Wants,"Focus on what you DO want, not what you DON'T want.","When planning or problem-solving, ask 'What do I want to happen?' instead of 'What don't I want?' Focus energy positively.",5 min,20,2,productivity,ðŸŒŸ,database,0,,,,,false
cmdzejed60004dxjys1hqvo4c,Focused Meditation Practice,"Meditations is not thinking of nothing. It is the act of watching you mind think of one thing. And when that one thing is a deity, then miracles can happen. And when that one thing is your true self, time stops.","Choose one focus (breath, deity, or true self). When mind wanders, gently return. Notice the magic of one-pointed focus.",15 min,45,4,mindfulness,ðŸŒŸ,database,3,Tue Aug 05 2025 22:18:28 GMT-0600 (Mountain Daylight Time),,,,true
gratitude-practice,Gratitude Practice,Acknowledge what you are thankful for,,5 min,30,2,mindfulness,/activity-icons/gratitude.jpg,database,0,,,,,false
cmdzejelv0008dxjyxo104v3y,Guided Meditation Course,"Course: Guided meditations (breath, creative, meeting, blessing, question)","Practice guided meditations for breath, creativity, meetings, blessings, and question-seeking. 5 sessions total.",25 min,50,4,mindfulness,ðŸŒŸ,database,0,,,,,false
hydrate,Hydrate,Stay hydrated with pure water,,1 min,15,1,physical,/activity-icons/hydrate.jpg,database,0,,,,,false
cmdzejf8a000hdxjyrhep79pe,Imagination Over Knowledge,"Einstein: 'Imagination is more important than knowledge. For knowledge is limited, whereas imagination embraces the entire world, stimulating progress, giving birth to evolution.' (My thought: knowledge defines what we know. Imagination defines what we will know.)",Spend 15 minutes imagining impossible solutions to current challenges. Let imagination guide you to new possibilities.,15 min,35,3,creativity,ðŸŒŸ,database,0,,,,,false
cmdzejfla000ndxjyogx51qcb,Imagineering Practice,"Imagineering. Spend time imagining a great idea, a perfect positive solution, or a creative alternative path. Give you mind permission to enjoy a playground of no rules, only possibilities and magic!",Give yourself 15 minutes to imagine a perfect solution with no rules or constraints. Enjoy the playground of pure possibility.,15 min,35,3,productivity,ðŸŒŸ,database,0,,,,,false
innovation-session,Innovation Session,Create breakthrough solutions,,60 min,65,4,creative,/activity-icons/innovation-session.jpg,database,0,,,,,false
inspire-others,Inspire Others,Motivate people to achieve greatness,,60 min,90,5,communication,/activity-icons/inspire-others.jpg,database,0,,,,,false
leadership-moment,Leadership Moment,Lead others toward a common goal,,45 min,70,4,communication,/activity-icons/Handshake.png,database,0,,,,,false
cmdzejf1d000fdxjyjmmysysm,Learning by Doing,"The fastest way to learn is by doing. Copy someone who knows and you get the same results without knowing. But by doing, you will come to know too.","Find someone skilled in what you want to learn. Copy their exact methods first, then adapt as you gain experience.",45 min,40,3,learning,ðŸŒŸ,database,0,,,,,false
life-changing-decision,Life-Changing Decision,Make a decision that transforms your path,,90 min,100,5,decision-making,/activity-icons/life-changing-decision.jpg,database,0,,,,,false
master-skill,Master New Skill,Achieve mastery in a meaningful domain,,120 min,85,5,creative,/activity-icons/learn.jpg,database,0,,,,,false
mentoring,Mentoring Others,Guide and teach someone valuable skills,,30 min,55,3,communication,/activity-icons/Mentor.jpg,database,1,Tue Aug 05 2025 23:06:04 GMT-0600 (Mountain Daylight Time),,,,true
mindful-breathing,Mindful Breathing,Center yourself with conscious breathing,,5 min,15,1,mindfulness,/activity-icons/meditation.jpg,database,0,,,,,false
cmdzejfy4000tdxjy0rn67dmx,Pain and Joy Sharing,"Be a true friend: sharing their pain cuts it in half, sharing their joy doubles it.","When friends share struggles, offer presence. When they share wins, celebrate genuinely. Double their joy, halve their pain.",5 min,25,2,relationships,ðŸŒŸ,database,0,,,,,false
cmdzejenz0009dxjyilo3dcqr,Permission First Protocol,"Always get permission first, then coach or advise.","Before offering advice, ask 'Would you like some input on this?' or 'Are you looking for advice or just venting?'",2 min,20,2,communication,ðŸŒŸ,database,0,,,,,false
posture-check,Posture Check,Align your spine and shoulders,,2 min,15,1,physical,/activity-icons/posture-check.jpg,database,0,,,,,false
cmdzejfro000qdxjyek4tfpr1,Priority Filtering,Identify 10 projects. Then get rid of 7 of them. Focus on what matters most.,List 10 current projects or priorities. Cross out 7. Focus only on the remaining 3 for the next month.,15 min,35,3,productivity,ðŸŒŸ,database,0,,,,,false
problem-solving,Problem Solving,Tackle complex challenges systematically,,25 min,40,3,decision-making,/activity-icons/problem-solving.jpg,database,0,,,,,false
cmdzejfpl000pdxjyiopw8jga,Process Success Definition,"Define Success by your process, not your outcome. The act of writing in your journal is what matters, not what you write. Some days will be enjoyable. Some days may be a struggle. But the ACT of writing in your journal is success. Same with everything. Just showing up is 90% of success.","Choose one important habit. Success = doing it, regardless of results. Journal about process wins daily.",10 min,25,2,productivity,ðŸŒŸ,database,0,,,,,false
cmdzejg2d000vdxjygw2gf2jn,Pure Listening Practice,"Listen. No agenda, no ego. Just listen. Action: repeat their comments or summarize what they said so they feel heard.","Give someone 5 minutes of complete attention. No advice, no solutions. Repeat back what you heard so they feel truly heard.",5 min,35,3,relationships,ðŸŒŸ,database,0,,,,,false
cmdzejeq5000adxjybz7jj6ud,Questions Over Statements,"When tension rises or conflict appears, immediately switch from making statements to asking questions.","When you feel conflict building, stop making statements. Ask 'Help me understand...' or 'What would work better?'",5 min,30,3,communication,ðŸŒŸ,database,0,,,,,false
quick-walk,Quick Walk,Get your body moving with a short walk,,10 min,20,1,physical,/activity-icons/running.jpg,database,0,,,,,false
read,Read,Expand your knowledge through reading,,40 min,30,1,growth,/activity-icons/Read.jpg,database,0,,,,,false
reflect,Reflect,Take time for personal reflection and introspection,,15 min,25,1,reflection,/activity-icons/Reflect.jpg,database,0,,,,,false
cmdzejg08000udxjyzwlprbvy,Self-Change Focus,Most conflicts in relationships arise from trying to change another. The truth is you can only change yourself.,"When frustrated with someone, ask 'What can I change about my response?' Focus energy on your own growth.",5 min,30,3,relationships,ðŸŒŸ,database,0,,,,,false
cmdzejefd0005dxjy1mu4o21p,Self-Kindness Practice,Be kind. Mostly to yourself.,"Throughout the day, notice your self-talk. Replace harsh criticism with kind, encouraging words.",10 min,25,2,mindfulness,ðŸŒŸ,database,0,,,,,false
cmdzejejp0007dxjyrp3nyrbl,Self-Talk Coaching,Self Talk. Be the coach you have always wanted.,Replace negative self-talk with encouraging coaching language. Ask 'What would my ideal coach say right now?',10 min,25,2,mindfulness,ðŸŒŸ,database,0,,,,,false
cmdzejfvy000sdxjyf7ewsy2n,Simplification Practice,A bumbling fool can create a complicated idea. It takes genius to simplify it.,Take one complex idea you're working with. Spend 10 minutes simplifying it until a child could understand it.,10 min,30,3,productivity,ðŸŒŸ,database,0,,,,,false
skill-practice,Skill Practice,Develop a meaningful skill or craft,,20 min,35,2,creative,/activity-icons/skill-practice.jpg,database,0,,,,,false
strategic-planning,Strategic Planning,Plan your approach to important goals,,15 min,30,2,decision-making,/activity-icons/strategic-planning.jpg,database,0,,,,,false
cmdzejesf000bdxjygu9cjlib,Strategic Silence,One of the most powerful tools in communication is silence.,"After speaking, count to 5 before responding. Let others fill the silence. Notice how it changes the conversation.",3 min,25,2,communication,ðŸŒŸ,database,0,,,,,false
cmdzejeb00003dxjyp2jwhp43,Thoughts vs Intuition Practice,Thoughts are man talking to the Universe. Intuition is the Universe talking to man.,Spend 5 minutes distinguishing: 'This is me talking to the universe' vs 'This is the universe talking to me.',5 min,30,3,mindfulness,ðŸŒŸ,database,0,,,,,false
cmdzejewu000ddxjy91m19lgt,Transformative Reading,"Throughout history, the most proven way to change (yourself or the world) is to read new thoughts. You learn and get inspired. It is the step before thought as you ride on the brilliant thoughts of others. Then you can have your own.",Spend 20-30 minutes daily reading books or articles that challenge your current thinking. Take notes on insights.,30 min,30,2,learning,ðŸŒŸ,database,0,,,,,false
cmdzeje3a0000dxjyavrwrl9w,Truth First Protocol,"Live Truth First Protocol - every word, every deed, based on truth. Not ego.","Before speaking or acting, pause and ask 'Is this truth or ego speaking?' Choose truth even when harder.",5 min,35,3,mindfulness,ðŸŒŸ,database,0,,,,,false
cmdzejg4j000wdxjyckrcgs5q,Vulnerable Authenticity,"Be vulnerable and authentic. With consideration and sensitivity, when others are struggling, share your similar experiences and how you overcame... or even how you still struggle.","When others face challenges similar to yours, share your experience (struggles and growth) with sensitivity and care.",10 min,40,4,relationships,ðŸŒŸ,database,0,,,,,false
cmdzejfag000idxjysw9fd3lw,Walking Meeting Meditation,Walking meetings meditation,"Take a 20-minute walk while contemplating a creative challenge. No phone, no distractions. Let insights emerge naturally.",20 min,30,2,creativity,ðŸŒŸ,database,0,,,,,false
cmdzejehj0006dxjyvujahg5a,Wise Silence Practice,"Those who speak, don't know. Those who know, don't speak.","Before sharing knowledge or opinions, ask 'Am I speaking from wisdom or ego?' Choose silence when appropriate.",3 min,30,3,mindfulness,ðŸŒŸ,database,0,,,,,false
cmdzejfeu000kdxjyb4dqhuy5,Writing for Answers,"When you want an answer, start writing. Start by writing your question. Then say, 'If I did know the answer, what would I write...' and just start writing. Imagine and pretend you know and after 10 minutes of writing, you will begin to.","Write your question, then write 'If I did know the answer...' and keep writing for 10 minutes. Trust what emerges.",10 min,35,3,creativity,ðŸŒŸ,database,0,,,,,false