id,title,category,description,activity,duration,difficulty,points,rarity
truth-first-protocol,Truth First Protocol,mindfulness,"Live Truth First Protocol - every word, every deed, based on truth. Not ego.","Before speaking or acting, pause and ask 'Is this truth or ego speaking?' Choose truth even when harder.",5 min,3,35,uncommon
ego-or-joy,Ego or Joy Choice,mindfulness,"You can be right or you can be happy. Choose. Ego or Joy.","When you feel the need to prove you're right, pause and ask 'Do I want to be right or happy?' Choose joy.",3 min,2,25,common
200-year-perspective,200-Year Perspective Check,mindfulness,"Perspective is easily gained by asking, 'In 200 years how will this matter?'","When stressed about something, ask 'In 200 years, how will this matter?' Let the answer guide your response.",2 min,2,20,common
thoughts-vs-intuition,Thoughts vs Intuition Practice,mindfulness,"Thoughts are man talking to the Universe. Intuition is the Universe talking to man.","Spend 5 minutes distinguishing: 'This is me talking to the universe' vs 'This is the universe talking to me.'",5 min,3,30,uncommon
focused-meditation,Focused Meditation Practice,mindfulness,"Meditations is not thinking of nothing. It is the act of watching you mind think of one thing. And when that one thing is a deity, then miracles can happen. And when that one thing is your true self, time stops.","Choose one focus (breath, deity, or true self). When mind wanders, gently return. Notice the magic of one-pointed focus.",15 min,4,45,rare
self-kindness,Self-Kindness Practice,mindfulness,"Be kind. Mostly to yourself.","Throughout the day, notice your self-talk. Replace harsh criticism with kind, encouraging words.",10 min,2,25,common
wise-silence,Wise Silence Practice,mindfulness,"Those who speak, don't know. Those who know, don't speak.","Before sharing knowledge or opinions, ask 'Am I speaking from wisdom or ego?' Choose silence when appropriate.",3 min,3,30,uncommon
self-coaching,Self-Talk Coaching,mindfulness,"Self Talk. Be the coach you have always wanted.","Replace negative self-talk with encouraging coaching language. Ask 'What would my ideal coach say right now?'",10 min,2,25,common
guided-meditation-course,Guided Meditation Course,mindfulness,"Course: Guided meditations (breath, creative, meeting, blessing, question)","Practice guided meditations for breath, creativity, meetings, blessings, and question-seeking. 5 sessions total.",25 min,4,50,rare
permission-first,Permission First Protocol,communication,"Always get permission first, then coach or advise.","Before offering advice, ask 'Would you like some input on this?' or 'Are you looking for advice or just venting?'",2 min,2,20,common
questions-over-statements,Questions Over Statements,communication,"When tension rises or conflict appears, immediately switch from making statements to asking questions.","When you feel conflict building, stop making statements. Ask 'Help me understand...' or 'What would work better?'",5 min,3,30,uncommon
strategic-silence,Strategic Silence,communication,"One of the most powerful tools in communication is silence.","After speaking, count to 5 before responding. Let others fill the silence. Notice how it changes the conversation.",3 min,2,25,common
ego-check-speaking,Ego Check Before Speaking,communication,"Before speaking, determine what you hope to accomplish. If it is your ego speaking, stop.","Before speaking, ask 'What am I trying to accomplish?' If it's ego-driven (proving superiority), choose silence.",2 min,3,30,uncommon
transformative-reading,Transformative Reading,learning,"Throughout history, the most proven way to change (yourself or the world) is to read new thoughts. You learn and get inspired. It is the step before thought as you ride on the brilliant thoughts of others. Then you can have your own.","Spend 20-30 minutes daily reading books or articles that challenge your current thinking. Take notes on insights.",30 min,2,30,common
failure-alchemy,Failure Alchemy,learning,"When you fail once, if you learn and solve it, you will never fail twice.","When you fail, immediately ask 'What did I learn?' and 'How will I solve this differently next time?' Document the lesson.",10 min,3,35,uncommon
learning-by-doing,Learning by Doing,learning,"The fastest way to learn is by doing. Copy someone who knows and you get the same results without knowing. But by doing, you will come to know too.","Find someone skilled in what you want to learn. Copy their exact methods first, then adapt as you gain experience.",45 min,3,40,uncommon
adaptability-practice,Adaptability Practice,learning,"Intelligence is the ability to adapt to change. - Stephen Hawking","When plans change unexpectedly, pause and ask 'How can I adapt?' Focus on solutions rather than resistance.",5 min,2,25,common
imagination-over-knowledge,Imagination Over Knowledge,creativity,"Einstein: 'Imagination is more important than knowledge. For knowledge is limited, whereas imagination embraces the entire world, stimulating progress, giving birth to evolution.' (My thought: knowledge defines what we know. Imagination defines what we will know.)","Spend 15 minutes imagining impossible solutions to current challenges. Let imagination guide you to new possibilities.",15 min,3,35,uncommon
walking-meditation,Walking Meeting Meditation,creativity,"Walking meetings meditation","Take a 20-minute walk while contemplating a creative challenge. No phone, no distractions. Let insights emerge naturally.",20 min,2,30,common
extreme-imagination,Extreme Imagination Practice,creativity,"You must allow your mind to go to take you to extreme heights, alternative views, and even crazy imaginations. Then when you come back to earth, you are likely to land on the top of a mountain.","Spend 10 minutes imagining the most extreme, crazy solutions to a problem. Return to earth and find the mountaintop insights.",10 min,3,30,uncommon
writing-for-answers,Writing for Answers,creativity,"When you want an answer, start writing. Start by writing your question. Then say, 'If I did know the answer, what would I write...' and just start writing. Imagine and pretend you know and after 10 minutes of writing, you will begin to.","Write your question, then write 'If I did know the answer...' and keep writing for 10 minutes. Trust what emerges.",10 min,3,35,uncommon
edison-napping,Edison Strategic Napping,creativity,"Strategic napping - using the Edison technique.","Hold a small object while taking a 10-20 minute nap. When it drops and wakes you, immediately capture any insights.",20 min,4,45,rare
artistic-diversion,Artistic Diversion,creativity,"Artistic diversion: create music, art, pottery, and other artistic activities. It uses the brain differently which translates to other aspects of life.","Spend 30 minutes on music, art, pottery, or other creative expression. Notice how it affects your thinking in other areas.",30 min,2,30,common
imagineering,Imagineering Practice,productivity,"Imagineering. Spend time imagining a great idea, a perfect positive solution, or a creative alternative path. Give you mind permission to enjoy a playground of no rules, only possibilities and magic!","Give yourself 15 minutes to imagine a perfect solution with no rules or constraints. Enjoy the playground of pure possibility.",15 min,3,35,uncommon
want-vs-not-want,Focus on Wants,productivity,"Focus on what you DO want, not what you DON'T want.","When planning or problem-solving, ask 'What do I want to happen?' instead of 'What don't I want?' Focus energy positively.",5 min,2,20,common
process-success,Process Success Definition,productivity,"Define Success by your process, not your outcome. The act of writing in your journal is what matters, not what you write. Some days will be enjoyable. Some days may be a struggle. But the ACT of writing in your journal is success. Same with everything. Just showing up is 90% of success.","Choose one important habit. Success = doing it, regardless of results. Journal about process wins daily.",10 min,2,25,common
priority-filtering,Priority Filtering,productivity,"Identify 10 projects. Then get rid of 7 of them. Focus on what matters most.","List 10 current projects or priorities. Cross out 7. Focus only on the remaining 3 for the next month.",15 min,3,35,uncommon
better-questions,Better Questions Practice,productivity,"The greatest answers come from asking better questions.","Before solving any problem, spend 5 minutes crafting better questions. 'How can I...' instead of 'Why can't I...'",5 min,2,25,common
simplification-genius,Simplification Practice,productivity,"A bumbling fool can create a complicated idea. It takes genius to simplify it.","Take one complex idea you're working with. Spend 10 minutes simplifying it until a child could understand it.",10 min,3,30,uncommon
pain-and-joy-sharing,Pain and Joy Sharing,relationships,"Be a true friend: sharing their pain cuts it in half, sharing their joy doubles it.","When friends share struggles, offer presence. When they share wins, celebrate genuinely. Double their joy, halve their pain.",5 min,2,25,common
self-change-focus,Self-Change Focus,relationships,"Most conflicts in relationships arise from trying to change another. The truth is you can only change yourself.","When frustrated with someone, ask 'What can I change about my response?' Focus energy on your own growth.",5 min,3,30,uncommon
pure-listening,Pure Listening Practice,relationships,"Listen. No agenda, no ego. Just listen. Action: repeat their comments or summarize what they said so they feel heard.","Give someone 5 minutes of complete attention. No advice, no solutions. Repeat back what you heard so they feel truly heard.",5 min,3,35,uncommon
vulnerable-authenticity,Vulnerable Authenticity,relationships,"Be vulnerable and authentic. With consideration and sensitivity, when others are struggling, share your similar experiences and how you overcame... or even how you still struggle.","When others face challenges similar to yours, share your experience (struggles and growth) with sensitivity and care.",10 min,4,40,rare